
2025/03/14 (20:14:05) | ===> btop++ v.1.4.0
2025/03/14 (20:14:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:15:04) | ===> btop++ v.1.4.0
2025/03/14 (20:15:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:35:46) | ===> btop++ v.1.4.0
2025/03/14 (20:35:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:38:41) | ===> btop++ v.1.4.0
2025/03/14 (20:38:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:38:44) | ===> btop++ v.1.4.0
2025/03/14 (20:38:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (22:01:15) | ===> btop++ v.1.4.0
2025/03/14 (22:01:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:17:56) | ===> btop++ v.1.4.0
2025/03/17 (22:17:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (22:11:42) | ===> btop++ v.1.4.0
2025/03/18 (22:11:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (19:14:07) | ===> btop++ v.1.4.0
2025/03/21 (19:14:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (08:19:05) | ===> btop++ v.1.4.0
2025/04/20 (08:19:05) | WARNING: Intel GPU: Failed to initialize PMU
